"initial_alias","converted_alias","name","description","namespace"
"SOX5","ENSG00000134532","SOX5","SRY-box transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:11201]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CATSPER4","ENSG00000188782","CATSPER4","cation channel sperm associated 4 [Source:HGNC Symbol;Acc:HGNC:23220]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CTSL3P","ENSG00000188029","CTSL3P","cathepsin L family member 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:33132]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"CTSL3P","ENSG00000290757","CTSL3P","cathepsin L family member 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:33132]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"KHDC3L","ENSG00000203908","KHDC3L","KH domain containing 3 like, subcortical maternal complex member [Source:HGNC Symbol;Acc:HGNC:33699]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IL6ST","ENSG00000134352","IL6ST","interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NA","None","None","None",""
"HS3ST5","ENSG00000249853","HS3ST5","heparan sulfate-glucosamine 3-sulfotransferase 5 [Source:HGNC Symbol;Acc:HGNC:19419]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RASSF1","ENSG00000068028","RASSF1","Ras association domain family member 1 [Source:HGNC Symbol;Acc:HGNC:9882]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STUM","ENSG00000203685","STUM","stum, mechanosensory transduction mediator homolog [Source:HGNC Symbol;Acc:HGNC:30491]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNG1A","ENSG00000172785","ZNG1A","Zn regulated GTPase metalloprotein activator 1A [Source:HGNC Symbol;Acc:HGNC:17134]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNG1B","ENSG00000136682","ZNG1B","Zn regulated GTPase metalloprotein activator 1B [Source:HGNC Symbol;Acc:HGNC:17907]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNG1B","ENSG00000196873","ZNG1C","Zn regulated GTPase metalloprotein activator 1C [Source:HGNC Symbol;Acc:HGNC:18519]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNG1C","ENSG00000147996","ZNG1E","Zn regulated GTPase metalloprotein activator 1E [Source:HGNC Symbol;Acc:HGNC:24584]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNG1C","ENSG00000196873","ZNG1C","Zn regulated GTPase metalloprotein activator 1C [Source:HGNC Symbol;Acc:HGNC:18519]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNG1C","ENSG00000215126","ZNG1F","Zn regulated GTPase metalloprotein activator 1F [Source:HGNC Symbol;Acc:HGNC:31978]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NA","None","None","None",""
"RGS3","ENSG00000138835","RGS3","regulator of G protein signaling 3 [Source:HGNC Symbol;Acc:HGNC:9999]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGPAT1","ENSG00000204310","AGPAT1","1-acylglycerol-3-phosphate O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:324]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LCOR","ENSG00000196233","LCOR","ligand dependent nuclear receptor corepressor [Source:HGNC Symbol;Acc:HGNC:29503]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KLF8","ENSG00000102349","KLF8","KLF transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:6351]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KCNE5","ENSG00000176076","KCNE5","potassium voltage-gated channel subfamily E regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:6241]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SYPL1","ENSG00000008282","SYPL1","synaptophysin like 1 [Source:HGNC Symbol;Acc:HGNC:11507]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANKMY1","ENSG00000144504","ANKMY1","ankyrin repeat and MYND domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20987]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NA","None","None","None",""
"FAM47B","ENSG00000189132","FAM47B","family with sequence similarity 47 member B [Source:HGNC Symbol;Acc:HGNC:26659]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TEX56P","ENSG00000185689","TEX56P","testis expressed 56, pseudogene [Source:HGNC Symbol;Acc:HGNC:21620]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"TEX56P","ENSG00000293447","TEX56P","testis expressed 56, pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:404220]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"RTN3","ENSG00000133318","RTN3","reticulon 3 [Source:HGNC Symbol;Acc:HGNC:10469]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FBXW2","ENSG00000119402","FBXW2","F-box and WD repeat domain containing 2 [Source:HGNC Symbol;Acc:HGNC:13608]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SFTPB","ENSG00000168878","SFTPB","surfactant protein B [Source:HGNC Symbol;Acc:HGNC:10801]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRODH2","ENSG00000250799","PRODH2","proline dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:17325]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AQP4-AS1","ENSG00000260372","AQP4-AS1","AQP4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26399]","GENECARDS,HGNC"
"CDH8","ENSG00000150394","CDH8","cadherin 8 [Source:HGNC Symbol;Acc:HGNC:1767]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TFAP2B","ENSG00000008196","TFAP2B","transcription factor AP-2 beta [Source:HGNC Symbol;Acc:HGNC:11743]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR6C2","ENSG00000179695","OR6C2","olfactory receptor family 6 subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:15436]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NA","None","None","None",""
"TPD52L3","ENSG00000170777","TPD52L3","TPD52 like 3 [Source:HGNC Symbol;Acc:HGNC:23382]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR4D5","ENSG00000171014","OR4D5","olfactory receptor family 4 subfamily D member 5 [Source:HGNC Symbol;Acc:HGNC:14852]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DHX32","ENSG00000089876","DHX32","DEAH-box helicase 32 (putative) [Source:HGNC Symbol;Acc:HGNC:16717]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IFNA14","ENSG00000228083","IFNA14","interferon alpha 14 [Source:HGNC Symbol;Acc:HGNC:5420]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRMT1","ENSG00000126457","PRMT1","protein arginine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5187]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CIMIP2A","ENSG00000188163","CIMIP2A","ciliary microtubule inner protein 2A [Source:HGNC Symbol;Acc:HGNC:33818]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDC","ENSG00000116703","PDC","phosducin [Source:HGNC Symbol;Acc:HGNC:8759]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LINC01547","ENSG00000183250","LINC01547","long intergenic non-protein coding RNA 1547 [Source:HGNC Symbol;Acc:HGNC:15707]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"CIMIP4","ENSG00000185264","CIMIP4","ciliary microtubule inner protein 4 [Source:HGNC Symbol;Acc:HGNC:28568]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR7C2","ENSG00000127529","OR7C2","olfactory receptor family 7 subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:8374]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF625","ENSG00000257591","ZNF625","zinc finger protein 625 [Source:HGNC Symbol;Acc:HGNC:30571]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LIM2","ENSG00000105370","LIM2","lens intrinsic membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6610]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PKD1","ENSG00000008710","PKD1","polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]","DBASS3,ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AMY1A","ENSG00000237763","AMY1A","amylase alpha 1A [Source:HGNC Symbol;Acc:HGNC:474]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AMY1B","ENSG00000174876","AMY1B","amylase alpha 1B [Source:HGNC Symbol;Acc:HGNC:475]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AMY1B","ENSG00000237763","AMY1A","amylase alpha 1A [Source:HGNC Symbol;Acc:HGNC:474]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AMY1C","ENSG00000187733","AMY1C","amylase alpha 1C [Source:HGNC Symbol;Acc:HGNC:476]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AMY2A","ENSG00000243480","AMY2A","amylase alpha 2A [Source:HGNC Symbol;Acc:HGNC:477]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AMY2B","ENSG00000240038","AMY2B","amylase alpha 2B [Source:HGNC Symbol;Acc:HGNC:478]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"P2RY12","ENSG00000169313","P2RY12","purinergic receptor P2Y12 [Source:HGNC Symbol;Acc:HGNC:18124]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MN1","ENSG00000169184","MN1","MN1 proto-oncogene, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:7180]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ISCU","ENSG00000136003","ISCU","iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AP4S1","ENSG00000100478","AP4S1","adaptor related protein complex 4 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:575]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IFNA4","ENSG00000236637","IFNA4","interferon alpha 4 [Source:HGNC Symbol;Acc:HGNC:5425]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IFNA17","ENSG00000234829","IFNA17","interferon alpha 17 [Source:HGNC Symbol;Acc:HGNC:5422]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C6ORF118","ENSG00000112539","C6orf118","chromosome 6 open reading frame 118 [Source:HGNC Symbol;Acc:HGNC:21233]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PI4KB","ENSG00000143393","PI4KB","phosphatidylinositol 4-kinase beta [Source:HGNC Symbol;Acc:HGNC:8984]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MSR1","ENSG00000038945","MSR1","macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:HGNC:7376]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCDC102B","ENSG00000150636","CCDC102B","coiled-coil domain containing 102B [Source:HGNC Symbol;Acc:HGNC:26295]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZP1","ENSG00000149506","ZP1","zona pellucida glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:13187]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NA","None","None","None",""
"ZNF365","ENSG00000138311","ZNF365","zinc finger protein 365 [Source:HGNC Symbol;Acc:HGNC:18194]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RUSC1","ENSG00000160753","RUSC1","RUN and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17153]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C4A","ENSG00000244731","C4A","complement C4A (Chido/Rodgers blood group) [Source:HGNC Symbol;Acc:HGNC:1323]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C4B","ENSG00000224389","C4B","complement C4B (Chido/Rodgers blood group) [Source:HGNC Symbol;Acc:HGNC:1324]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C4B_2","ENSG00000224389","C4B","complement C4B (Chido/Rodgers blood group) [Source:HGNC Symbol;Acc:HGNC:1324]","UNIPROT_GN"
"RTP3","ENSG00000163825","RTP3","receptor transporter protein 3 [Source:HGNC Symbol;Acc:HGNC:15572]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"XKR3","ENSG00000172967","XKR3","XK related 3 [Source:HGNC Symbol;Acc:HGNC:28778]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KRTAP4-11","ENSG00000212721","KRTAP4-11","keratin associated protein 4-11 [Source:HGNC Symbol;Acc:HGNC:18911]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BTNL2","ENSG00000204290","BTNL2","butyrophilin like 2 [Source:HGNC Symbol;Acc:HGNC:1142]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NA","None","None","None",""
"OR6V1","ENSG00000225781","OR6V1","olfactory receptor family 6 subfamily V member 1 [Source:HGNC Symbol;Acc:HGNC:15090]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IL17REL","ENSG00000188263","IL17REL","interleukin 17 receptor E like [Source:HGNC Symbol;Acc:HGNC:33808]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TAS2R43","ENSG00000255374","TAS2R43","taste 2 receptor member 43 [Source:HGNC Symbol;Acc:HGNC:18875]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SYT14P1","ENSG00000215127","SYT14P1","synaptotagmin 14 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33429]","GENECARDS,HGNC"
"CLDN20","ENSG00000171217","CLDN20","claudin 20 [Source:HGNC Symbol;Acc:HGNC:2042]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AQP4","ENSG00000171885","AQP4","aquaporin 4 [Source:HGNC Symbol;Acc:HGNC:637]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR51B2","ENSG00000279012","OR51B2","olfactory receptor family 51 subfamily B member 2 [Source:HGNC Symbol;Acc:HGNC:14703]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VPS37B","ENSG00000139722","VPS37B","VPS37B subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:25754]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRIM14","ENSG00000106785","TRIM14","tripartite motif containing 14 [Source:HGNC Symbol;Acc:HGNC:16283]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DLC1","ENSG00000164741","DLC1","DLC1 Rho GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:2897]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OPN4","ENSG00000122375","OPN4","opsin 4 [Source:HGNC Symbol;Acc:HGNC:14449]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PCDHA13","ENSG00000239389","PCDHA13","protocadherin alpha 13 [Source:HGNC Symbol;Acc:HGNC:8667]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD300LD-AS1","ENSG00000182352","CD300LD-AS1","CD300LD antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26480]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"INAVA","ENSG00000163362","INAVA","innate immunity activator [Source:HGNC Symbol;Acc:HGNC:25599]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WFDC11","ENSG00000180083","WFDC11","WAP four-disulfide core domain 11 [Source:HGNC Symbol;Acc:HGNC:20478]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WNT6","ENSG00000115596","WNT6","Wnt family member 6 [Source:HGNC Symbol;Acc:HGNC:12785]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C20ORF203","ENSG00000198547","C20orf203","chromosome 20 open reading frame 203 [Source:HGNC Symbol;Acc:HGNC:26592]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DNAJB12","ENSG00000148719","DNAJB12","DnaJ heat shock protein family (Hsp40) member B12 [Source:HGNC Symbol;Acc:HGNC:14891]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TPM1","ENSG00000140416","TPM1","tropomyosin 1 [Source:HGNC Symbol;Acc:HGNC:12010]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MIR1915HG","ENSG00000204682","MIR1915HG","MIR1915 host gene [Source:HGNC Symbol;Acc:HGNC:31448]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"PCDHB14","ENSG00000120327","PCDHB14","protocadherin beta 14 [Source:HGNC Symbol;Acc:HGNC:8685]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CLEC17A","ENSG00000187912","CLEC17A","C-type lectin domain containing 17A [Source:HGNC Symbol;Acc:HGNC:34520]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ASB14","ENSG00000239388","ASB14","ankyrin repeat and SOCS box containing 14 [Source:HGNC Symbol;Acc:HGNC:19766]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"GREB1","ENSG00000196208","GREB1","growth regulating estrogen receptor binding 1 [Source:HGNC Symbol;Acc:HGNC:24885]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EPHA5","ENSG00000145242","EPHA5","EPH receptor A5 [Source:HGNC Symbol;Acc:HGNC:3389]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NA","None","None","None",""
"NA","None","None","None",""
"LINC00544","ENSG00000122043","LINC00544","long intergenic non-protein coding RNA 544 [Source:HGNC Symbol;Acc:HGNC:43679]","GENECARDS,HGNC"
"CFAP58","ENSG00000120051","CFAP58","cilia and flagella associated protein 58 [Source:HGNC Symbol;Acc:HGNC:26676]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR52N1","ENSG00000181001","OR52N1","olfactory receptor family 52 subfamily N member 1 [Source:HGNC Symbol;Acc:HGNC:14853]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CLIP2","ENSG00000106665","CLIP2","CAP-Gly domain containing linker protein 2 [Source:HGNC Symbol;Acc:HGNC:2586]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MDM1","ENSG00000111554","MDM1","Mdm1 nuclear protein [Source:HGNC Symbol;Acc:HGNC:29917]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CATIP","ENSG00000158428","CATIP","ciliogenesis associated TTC17 interacting protein [Source:HGNC Symbol;Acc:HGNC:25062]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CNTN1","ENSG00000018236","CNTN1","contactin 1 [Source:HGNC Symbol;Acc:HGNC:2171]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FBXW11","ENSG00000072803","FBXW11","F-box and WD repeat domain containing 11 [Source:HGNC Symbol;Acc:HGNC:13607]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GNAS","ENSG00000087460","GNAS","GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FOXB1","ENSG00000171956","FOXB1","forkhead box B1 [Source:HGNC Symbol;Acc:HGNC:3799]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AMN1","ENSG00000151743","AMN1","antagonist of mitotic exit network 1 homolog [Source:HGNC Symbol;Acc:HGNC:27281]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AKT3","ENSG00000117020","AKT3","AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NECAB2","ENSG00000103154","NECAB2","N-terminal EF-hand calcium binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23746]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OPA3","ENSG00000125741","OPA3","outer mitochondrial membrane lipid metabolism regulator OPA3 [Source:HGNC Symbol;Acc:HGNC:8142]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR8G1","ENSG00000197849","OR8G1","olfactory receptor family 8 subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:8484]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSMA8","ENSG00000154611","PSMA8","proteasome 20S subunit alpha 8 [Source:HGNC Symbol;Acc:HGNC:22985]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SGK2","ENSG00000101049","SGK2","serum/glucocorticoid regulated kinase 2 [Source:HGNC Symbol;Acc:HGNC:13900]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IL9R","ENSG00000124334","IL9R","interleukin 9 receptor [Source:HGNC Symbol;Acc:HGNC:6030]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IL9R","ENSG00000292373","IL9R","interleukin 9 receptor [Source:HGNC Symbol;Acc:HGNC:6030]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GPHA2","ENSG00000149735","GPHA2","glycoprotein hormone subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:18054]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BEND4","ENSG00000188848","BEND4","BEN domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23815]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CSH2","ENSG00000213218","CSH2","chorionic somatomammotropin hormone 2 [Source:HGNC Symbol;Acc:HGNC:2441]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EYA2","ENSG00000064655","EYA2","EYA transcriptional coactivator and phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3520]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PCDH10","ENSG00000138650","PCDH10","protocadherin 10 [Source:HGNC Symbol;Acc:HGNC:13404]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NA","None","None","None",""
"BTBD7","ENSG00000011114","BTBD7","BTB domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18269]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR10Z1","ENSG00000198967","OR10Z1","olfactory receptor family 10 subfamily Z member 1 [Source:HGNC Symbol;Acc:HGNC:14996]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NA","None","None","None",""
"KRTAP10-1","ENSG00000215455","KRTAP10-1","keratin associated protein 10-1 [Source:HGNC Symbol;Acc:HGNC:22966]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PWWP2B","ENSG00000171813","PWWP2B","PWWP domain containing 2B [Source:HGNC Symbol;Acc:HGNC:25150]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UMODL1","ENSG00000177398","UMODL1","uromodulin like 1 [Source:HGNC Symbol;Acc:HGNC:12560]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FGF5","ENSG00000138675","FGF5","fibroblast growth factor 5 [Source:HGNC Symbol;Acc:HGNC:3683]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KRTAP10-9","ENSG00000221837","KRTAP10-9","keratin associated protein 10-9 [Source:HGNC Symbol;Acc:HGNC:22971]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR5D18","ENSG00000186119","OR5D18","olfactory receptor family 5 subfamily D member 18 [Source:HGNC Symbol;Acc:HGNC:15285]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EGR3","ENSG00000179388","EGR3","early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NA","None","None","None",""
"PSD3","ENSG00000156011","PSD3","pleckstrin and Sec7 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19093]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STPG4","ENSG00000239605","STPG4","sperm-tail PG-rich repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:26850]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ITGB4","ENSG00000132470","ITGB4","integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NA","None","None","None",""
"C5AR2","ENSG00000134830","C5AR2","complement C5a receptor 2 [Source:HGNC Symbol;Acc:HGNC:4527]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TCEA2","ENSG00000171703","TCEA2","transcription elongation factor A2 [Source:HGNC Symbol;Acc:HGNC:11614]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SYT6","ENSG00000134207","SYT6","synaptotagmin 6 [Source:HGNC Symbol;Acc:HGNC:18638]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPIC","ENSG00000166211","SPIC","Spi-C transcription factor [Source:HGNC Symbol;Acc:HGNC:29549]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
